Date, Price
Sat Dec 10 23:01:12 2022,272.99
Sat Dec 10 23:02:13 2022,273.04
Sat Dec 10 23:03:18 2022,273.15
Sat Dec 10 23:04:19 2022,273.19
Sat Dec 10 23:05:19 2022,273.18
Sat Dec 10 23:06:19 2022,273.19
Sat Dec 10 23:07:20 2022,273.15
Sat Dec 10 23:08:20 2022,273.14
Sat Dec 10 23:09:20 2022,273.22
Sat Dec 10 23:10:21 2022,273.25
Sat Dec 10 23:11:21 2022,273.28
Sat Dec 10 23:12:22 2022,273.27
Sat Dec 10 23:13:22 2022,273.31
Sat Dec 10 23:14:22 2022,273.25
Sat Dec 10 23:15:23 2022,273.35
Sat Dec 10 23:16:24 2022,273.29
Sat Dec 10 23:17:24 2022,273.27
Sat Dec 10 23:18:25 2022,273.2
Sat Dec 10 23:19:25 2022,273.29
Sat Dec 10 23:20:25 2022,273.35
Sat Dec 10 23:21:26 2022,273.31
Sat Dec 10 23:22:26 2022,273.15
Sat Dec 10 23:23:26 2022,273.17
Sat Dec 10 23:24:27 2022,273.22
Sat Dec 10 23:25:28 2022,273.35
Sat Dec 10 23:26:28 2022,273.44
Sat Dec 10 23:27:28 2022,273.38
Sat Dec 10 23:28:30 2022,273.38
Sat Dec 10 23:29:30 2022,273.39
Sat Dec 10 23:30:31 2022,273.41
Sat Dec 10 23:31:31 2022,273.4
Sat Dec 10 23:32:31 2022,273.41
Sat Dec 10 23:33:32 2022,273.37
Sat Dec 10 23:34:32 2022,273.19
Sat Dec 10 23:35:32 2022,273
Sat Dec 10 23:36:33 2022,272.97
Sat Dec 10 23:37:33 2022,273.08
Sat Dec 10 23:38:33 2022,273.18
Sat Dec 10 23:39:34 2022,273.18
Sat Dec 10 23:40:34 2022,273.21
Sat Dec 10 23:41:35 2022,273.16
Sat Dec 10 23:42:35 2022,273.1
Sat Dec 10 23:43:36 2022,273.16
Sat Dec 10 23:44:36 2022,273
Sat Dec 10 23:45:36 2022,272.87
Sat Dec 10 23:46:37 2022,272.93
Sat Dec 10 23:47:37 2022,272.93
Sat Dec 10 23:48:37 2022,272.89
Sat Dec 10 23:49:38 2022,272.79
Sat Dec 10 23:50:38 2022,272.8
Sat Dec 10 23:51:39 2022,272.88
Sat Dec 10 23:52:39 2022,272.87
Sat Dec 10 23:53:39 2022,272.94
Sat Dec 10 23:54:40 2022,273.06
Sat Dec 10 23:55:40 2022,273.09
Sat Dec 10 23:56:40 2022,273.18
Sat Dec 10 23:57:41 2022,273.22
Sat Dec 10 23:58:41 2022,273.22
Sat Dec 10 23:59:42 2022,273.22
Sun Dec 11 00:00:42 2022,273.29
Sun Dec 11 00:01:42 2022,273.31
Sun Dec 11 00:02:43 2022,273.26
Sun Dec 11 00:03:43 2022,273.07
Sun Dec 11 00:04:44 2022,273
Sun Dec 11 00:05:44 2022,272.92
Sun Dec 11 00:06:44 2022,273.01
Sun Dec 11 00:07:45 2022,273.04
Sun Dec 11 00:08:45 2022,272.89
Sun Dec 11 00:09:46 2022,272.87
Sun Dec 11 00:10:46 2022,272.88
Sun Dec 11 00:11:46 2022,272.73
Sun Dec 11 00:12:47 2022,272.78
Sun Dec 11 00:13:47 2022,272.77
Sun Dec 11 00:14:48 2022,272.79
Sun Dec 11 00:15:49 2022,272.84
Sun Dec 11 00:16:49 2022,272.9
Sun Dec 11 00:17:49 2022,272.84
Sun Dec 11 00:18:50 2022,272.82
Sun Dec 11 00:19:50 2022,272.91
Sun Dec 11 00:20:50 2022,272.89
Sun Dec 11 00:21:51 2022,272.87
Sun Dec 11 00:22:51 2022,272.86
Sun Dec 11 00:23:52 2022,272.84
Sun Dec 11 00:24:52 2022,272.96
Sun Dec 11 00:25:52 2022,272.95
Sun Dec 11 00:26:53 2022,272.94
Sun Dec 11 00:27:53 2022,272.99
Sun Dec 11 00:28:54 2022,272.99
Sun Dec 11 00:29:54 2022,273
Sun Dec 11 00:30:54 2022,273.03
Sun Dec 11 00:31:55 2022,273.05
Sun Dec 11 00:32:55 2022,273.05
Sun Dec 11 00:33:56 2022,273.04
Sun Dec 11 00:34:56 2022,273.11
Sun Dec 11 00:35:57 2022,273.23
